id,name,time_zone
Israel,Israel,Asia/Jerusalem
Italy,Italy,Europe/Rome
Ivory Coast,Ivory Coast,Africa/Abidjan
Jamaica,Jamaica,America/Jamaica
Japan,Japan,Asia/Tokyo
Jordan,Jordan,Asia/Amman
Kazakhstan,Kazakhstan,Asia/Almaty
Kenya,Kenya,Africa/Nairobi
Kuwait,Kuwait,Asia/Riyadh
Kyrgyzstan,Kyrgyzstan,Asia/Bishkek
Laos,Laos,Asia/Bangkok
Latvia,Latvia,Europe/Riga
Lebanon,Lebanon,Asia/Beirut
Libya,Libya,Africa/Tripoli
Lithuania,Lithuania,Europe/Vilnius
Luxembourg,Luxembourg,Europe/Brussels
Madagascar,Madagascar,Africa/Nairobi
Malaysia,Malaysia,Asia/Kuching
Mali,Mali,Africa/Abidjan
Malta,Malta,Europe/Malta
Mauritania,Mauritania,Africa/Abidjan
Mauritius,Mauritius,Indian/Mauritius
Mexico,Mexico,America/Mexico_City
Moldova,Moldova,Europe/Chisinau
Mongolia,Mongolia,Asia/Ulaanbaatar
Montenegro,Montenegro,Europe/Belgrade
Morocco,Morocco,Africa/Casablanca
Mozambique,Mozambique,Africa/Maputo
Myanmar,Myanmar,Asia/Yangon
Namibia,Namibia,Africa/Windhoek
Nepal,Nepal,Asia/Kathmandu
Netherlands,Netherlands,Europe/Brussels
New Zealand,New Zealand,Pacific/Auckland
Nicaragua,Nicaragua,America/Managua
Niger,Niger,Africa/Lagos
Nigeria,Nigeria,Africa/Lagos
North Macedonia,North Macedonia,Europe/Belgrade
Norway,Norway,Europe/Berlin
Oman,Oman,Asia/Dubai
Pakistan,Pakistan,Asia/Karachi
Palestine,Palestine,Asia/Gaza
Panama,Panama,America/Panama
Paraguay,Paraguay,America/Asuncion
Peru,Peru,America/Lima
Philippines,Philippines,Asia/Manila
Poland,Poland,Europe/Warsaw
Portugal,Portugal,Europe/Lisbon
Qatar,Qatar,Asia/Qatar
Romania,Romania,Europe/Bucharest
Russia,Russia,Europe/Moscow
Rwanda,Rwanda,Africa/Maputo
Saudi Arabia,Saudi Arabia,Asia/Riyadh
Senegal,Senegal,Africa/Abidjan
Serbia,Serbia,Europe/Belgrade
Singapore,Singapore,Asia/Singapore
Slovakia,Slovakia,Europe/Prague
Slovenia,Slovenia,Europe/Belgrade
South Africa,South Africa,Africa/Johannesburg
South Korea,South Korea,Asia/Seoul
Spain,Spain,Europe/Madrid
Sri Lanka,Sri Lanka,Asia/Colombo
Sudan,Sudan,Africa/Khartoum
Suriname,Suriname,America/Paramaribo
Sweden,Sweden,Europe/Berlin
Switzerland,Switzerland,Europe/Zurich
Syria,Syria,Asia/Damascus
Tajikistan,Tajikistan,Asia/Dushanbe
Tanzania,Tanzania,Africa/Nairobi
Thailand,Thailand,Asia/Bangkok
Togo,Togo,Africa/Abidjan
Trinidad And Tobago,Trinidad And Tobago,America/Puerto_Rico
Tunisia,Tunisia,Africa/Tunis
Turkey,Turkey,Europe/Istanbul
Turkmenistan,Turkmenistan,Asia/Ashgabat
Uganda,Uganda,Africa/Nairobi
Ukraine,Ukraine,Europe/Kyiv
United Arab Emirates,United Arab Emirates,Asia/Dubai
United Kingdom,United Kingdom,Europe/London
United States,United States,America/Chicago
Uruguay,Uruguay,America/Montevideo
Uzbekistan,Uzbekistan,Asia/Samarkand
Venezuela,Venezuela,America/Caracas
Vietnam,Vietnam,Asia/Bangkok
Yemen,Yemen,Asia/Riyadh
Zambia,Zambia,Africa/Maputo
Zimbabwe,Zimbabwe,Africa/Maputo
